Date,Session source / medium,Device category,Browser,Language,Page path and screen class,Landing page,Country,City,Total users,Sessions,Engaged sessions,Average session length (sec),Views,Conversions,Revenue,Calc Goals
2022-08-17,(direct) / (none),desktop,Chrome,English,/,/,United States,Tucson,1,2,2,0,4,0,,below
2022-08-17,(direct) / (none),desktop,Chrome,English,/apprenticeship,/,United States,Tucson,1,1,0,36,2,0,,below
2022-08-17,(direct) / (none),desktop,Chrome,English,/classes,/,United States,Tucson,1,2,0,19.5,4,0,,below
2022-08-17,(direct) / (none),desktop,Chrome,English,/event-details/adult-lucid-dance,/,United States,Tucson,1,1,0,24,2,0,,below
2022-08-17,(direct) / (none),desktop,Safari,English,/,/,United States,Tucson,1,1,1,0,2,0,,below
2022-08-17,(direct) / (none),desktop,Safari,English,/events-shows,/,United States,Tucson,1,1,0,2,2,0,,below
2022-08-17,(direct) / (none),desktop,Safari,English,/no-frills2022,/,United States,Tucson,1,1,0,27,3,0,,below
2022-08-17,(direct) / (none),desktop,Safari,English,/no-frills2022%3Ffbclid=IwAR1CydvcnmtcgKKT0o0s8N6ctx_WGqo01FRKVuV2TG5m3XBDGp6cL4zsabw,/,United States,Tucson,1,1,0,0,1,0,,below
2022-08-17,(direct) / (none),mobile,Safari,English,/,/,United States,Tucson,1,1,1,0,2,0,,below
2022-08-17,(direct) / (none),mobile,Safari,English,/classes,/,United States,Tucson,1,1,0,26,2,0,,below
2022-08-17,(direct) / (none),mobile,Safari,English,/event-details/young-adult-aerial-trapeze-ages-13-17,/,United States,Tucson,1,1,0,0,2,0,,below
2022-08-17,(direct) / (none),mobile,Safari,English,/event-details/young-adult-aerial-trapeze-ages-13-17,/event-details/young-adult-aerial-trapeze-ages-13-17,United States,Tucson,1,1,1,0,2,0,,below
2022-08-17,livelystep! Dance / email,mobile,Safari,English,/,/event-details/youth-aerial-trapeze-ages-7-11,United States,Catalina Foothills,1,1,0,15,2,0,,below
2022-08-17,livelystep! Dance / email,mobile,Safari,English,/event-details/youth-aerial-trapeze-ages-7-11,/event-details/youth-aerial-trapeze-ages-7-11,United States,Catalina Foothills,1,1,1,4,1,0,,below
2022-08-17,livelystep! Dance / email,mobile,Safari,English,/event-details/youth-aerial-trapeze-ages-7-11%3Futm_source=livelystep%21+Dance&utm_campaign=77883bb603-EMAIL,/event-details/youth-aerial-trapeze-ages-7-11,United States,Catalina Foothills,1,1,0,0,1,0,,below
2022-08-17,livelystep! Dance / email,mobile,Safari,English,/teacherjane,/event-details/youth-aerial-trapeze-ages-7-11,United States,Catalina Foothills,1,1,0,0,2,0,,below
2022-08-17,facebook.com / referral,desktop,Chrome,English,/apprenticeship,/apprenticeship?fbclid=IwAR06cqTA_DZmcJu-yYT68CHbEvdwGzEO27hB9snWlxoLPM6ys9d2AvF0zpU,Sweden,Lulea,1,1,1,0,1,0,,below
2022-08-17,facebook.com / referral,desktop,Chrome,English,/apprenticeship%3Ffbclid=IwAR06cqTA_DZmcJu-yYT68CHbEvdwGzEO27hB9snWlxoLPM6ys9d2AvF0zpU,/apprenticeship?fbclid=IwAR06cqTA_DZmcJu-yYT68CHbEvdwGzEO27hB9snWlxoLPM6ys9d2AvF0zpU,Sweden,Lulea,1,1,0,0,1,0,,below
2022-08-17,google / organic,desktop,Chrome,English,/,/,United States,Tucson,1,1,1,17,4,0,,below
2022-08-17,google / organic,desktop,Chrome,English,/apprenticeship,/,United States,Tucson,1,1,0,16,2,0,,below
2022-08-17,google / organic,desktop,Chrome,English,/classes,/,United States,Tucson,1,1,0,15,2,0,,below
2022-08-17,google / organic,desktop,Chrome,English,/more,/,United States,Tucson,1,1,0,28,2,0,,below
2022-08-17,google / organic,desktop,Chrome,English,/nafissa,/,United States,Tucson,1,1,0,10,2,0,,below
2022-08-17,google / organic,desktop,Chrome,English,/staff,/,United States,Tucson,1,1,0,9,2,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/,/,United States,Catalina Foothills,2,2,2,12,8,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/classes,/,United States,Catalina Foothills,1,1,0,46,4,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/event-details/youth-aerial-trapeze-ages-7-11,/,United States,Catalina Foothills,1,1,0,11,2,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/meet-our-teachers,/,United States,Catalina Foothills,1,1,0,13,4,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/nafissa,/,United States,Catalina Foothills,1,1,0,4,2,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/photos,/,United States,Catalina Foothills,1,1,0,26,2,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/safety-guidelines,/,United States,Catalina Foothills,1,1,0,40,2,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/shop,/,United States,Catalina Foothills,1,1,0,23,2,0,,below
2022-08-17,google / organic,desktop,Firefox,English,/testimonials,/,United States,Catalina Foothills,1,1,0,39,2,0,,below
2022-08-17,google / organic,mobile,Chrome,English,/,/,United States,Las Vegas,1,1,1,20,2,0,,below
2022-08-17,google / organic,mobile,Chrome,English,/studio-y-info,/,United States,Las Vegas,1,1,0,0,1,0,,below
2022-08-17,google / organic,mobile,Safari,English,/,/,United States,Roswell,1,1,1,1,4,0,,below
2022-08-17,google / organic,mobile,Safari,English,/,/photos,United States,Chicago,1,1,0,133,13,0,,below
2022-08-17,google / organic,mobile,Safari,English,/apprenticeship,/photos,United States,Chicago,1,1,0,51,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/classes,/photos,United States,Chicago,1,1,0,57,6,0,,below
2022-08-17,google / organic,mobile,Safari,English,/event-details/adult-lucid-dance,/photos,United States,Chicago,1,1,0,35,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/events-shows,/photos,United States,Chicago,1,1,0,35,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/meet-our-teachers,/,United States,Roswell,1,1,0,6,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/nafissa,/,United States,Roswell,1,1,0,3,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/photos,/photos,United States,Chicago,1,1,1,72,4,0,,below
2022-08-17,google / organic,mobile,Safari,English,/teachermarie,/teachermarie,United States,Tucson,1,1,1,17,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/testimonials,/photos,United States,Chicago,1,1,0,7,2,0,,below
2022-08-17,google / organic,mobile,Safari,English,/videos-performances,/photos,United States,Chicago,1,1,0,4,2,0,,below
2022-08-17,google / organic,mobile,Safari,Japanese,/product-page/bob-dylan-tom-petty-true-confessions-authentic-concert-tour-t-shirt,/product-page/bob-dylan-tom-petty-true-confessions-authentic-concert-tour-t-shirt,Japan,Konosu,1,1,1,6,2,0,,below
2022-08-17,l.facebook.com / referral,desktop,Safari,English,/no-frills2022,(not set),United States,Tucson,1,1,0,0,0,0,,below
2022-08-17,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR0CyO1Hj8NYI4SgsP-hdfhepUo-_KwZvzQ52lkfvgnGQCxFqkrzF1Cd_qg,United States,Tucson,1,1,1,0,1,0,,below
2022-08-17,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR2OhRXGFa2UdcMqgZYcYU1Z2JlYhK9NsfoeBhc16XoClZyOAoI99ovn8Gk,United States,Los Angeles,1,1,1,0,1,0,,below
2022-08-17,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR0CyO1Hj8NYI4SgsP-hdfhepUo-_KwZvzQ52lkfvgnGQCxFqkrzF1Cd_qg,/apprenticeship?fbclid=IwAR0CyO1Hj8NYI4SgsP-hdfhepUo-_KwZvzQ52lkfvgnGQCxFqkrzF1Cd_qg,United States,Tucson,1,1,0,0,1,0,,below
2022-08-17,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship%3Ffbclid=IwAR2OhRXGFa2UdcMqgZYcYU1Z2JlYhK9NsfoeBhc16XoClZyOAoI99ovn8Gk,/apprenticeship?fbclid=IwAR2OhRXGFa2UdcMqgZYcYU1Z2JlYhK9NsfoeBhc16XoClZyOAoI99ovn8Gk,United States,Los Angeles,1,1,0,0,1,0,,below
2022-08-17,l.facebook.com / referral,tablet,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR3ExuOSTBdeN34G0aXafLetWTK-6moN3HEeM2yRp_MGBuEDUHqOhyRRHX4,United States,Phoenix,1,1,1,0,1,0,,below
2022-08-17,l.facebook.com / referral,tablet,Android Webview,English,/apprenticeship%3Ffbclid=IwAR3ExuOSTBdeN34G0aXafLetWTK-6moN3HEeM2yRp_MGBuEDUHqOhyRRHX4,/apprenticeship?fbclid=IwAR3ExuOSTBdeN34G0aXafLetWTK-6moN3HEeM2yRp_MGBuEDUHqOhyRRHX4,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-17,l.instagram.com / referral,mobile,Safari (in-app),English,/event-details/young-adult-aerial-trapeze-ages-13-17,/event-details/young-adult-aerial-trapeze-ages-13-17,United States,Oro Valley,1,1,1,0,2,0,,below
2022-08-17,l.instagram.com / referral,mobile,Safari (in-app),English,/event-details/young-adult-aerial-trapeze-ages-13-17,/event-details/young-adult-aerial-trapeze-ages-13-17,United States,Tucson,1,1,1,0,2,0,,below
2022-08-17,lm.facebook.com / referral,mobile,Android Webview,English,/event-details/mixed-lucid-dance-adult-dance-class-feb-mar,/event-details/mixed-lucid-dance-adult-dance-class-feb-mar,United States,Phoenix,1,1,1,0,2,0,,below
2022-08-17,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship,/apprenticeship?fbclid=IwAR19VBZ1ZL0W_SC28tZsZqzr4aXghbVb8FcQPiL9Tt-dEJzqKmIgFDJhhZ4_aem_AfWsdYNYZSpeDTer3jrXjR35Fg0j1G7b9Uub1Mo7BnJUu0fdkAQBIndptANBq-huya33TsRGEAGVid5UK3ak_NA46eqkTAtokhjqHvUbMqDouXZ_v_xjscOM4D5TWkijtBw,United States,Phoenix,1,1,1,0,1,0,,below
2022-08-17,m.facebook.com / referral,mobile,Safari (in-app),English,/apprenticeship%3Ffbclid=IwAR19VBZ1ZL0W_SC28tZsZqzr4aXghbVb8FcQPiL9Tt-dEJzqKmIgFDJhhZ4_aem_AfWsdYNY,/apprenticeship?fbclid=IwAR19VBZ1ZL0W_SC28tZsZqzr4aXghbVb8FcQPiL9Tt-dEJzqKmIgFDJhhZ4_aem_AfWsdYNYZSpeDTer3jrXjR35Fg0j1G7b9Uub1Mo7BnJUu0fdkAQBIndptANBq-huya33TsRGEAGVid5UK3ak_NA46eqkTAtokhjqHvUbMqDouXZ_v_xjscOM4D5TWkijtBw,United States,Phoenix,1,1,0,0,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/,/?gtm_debug=1660751994164&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,1,0,2,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/%3Fgtm_debug=1660758369537&lang=fr,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/classes,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,2,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/classes%3Flang=fr,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/events-shows,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/events-shows%3Flang=fr,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,2,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/photos,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,0,1,0,,below
2022-08-17,tagassistant.google.com / referral,desktop,Chrome,French,/photos%3Flang=fr,/?gtm_debug=1660758215557&lang=fr,Switzerland,Lausanne,1,1,0,1,1,0,,below
2022-08-18,(direct) / (none),desktop,Firefox,English,/,/event-details/youth-aerial-trapeze-ages-7-11,United States,Tucson,1,1,0,55,2,0,,below
2022-08-18,(direct) / (none),desktop,Firefox,English,/classes,/event-details/youth-aerial-trapeze-ages-7-11,United States,Tucson,1,1,0,62,2,0,,below
2022-08-18,(direct) / (none),desktop,Firefox,English,/event-details/youth-aerial-trapeze-ages-7-11,/event-details/youth-aerial-trapeze-ages-7-11,United States,Tucson,1,1,1,61,2,0,,below
2022-08-18,(direct) / (none),mobile,Safari,English,/,/,United States,Stevensville,1,1,1,0,2,0,,below
2022-08-18,(direct) / (none),mobile,Safari,English,/classes,/event-details/aerial-trapeze-dance-workshop-opportunity,United States,Bullhead City,1,1,0,18,2,0,,below
2022-08-18,(direct) / (none),mobile,Safari,English,/event-details/aerial-community-class-youth-adult,/event-details/aerial-trapeze-dance-workshop-opportunity,United States,Bullhead City,1,1,0,28,2,0,,below
2022-08-18,(direct) / (none),mobile,Safari,English,/event-details/aerial-trapeze-dance-workshop-opportunity,/event-details/aerial-trapeze-dance-workshop-opportunity,United States,Bullhead City,1,1,1,19,2,0,,below
2022-08-18,google / organic,mobile,Chrome,English,/,/,United States,Oro Valley,1,1,1,0,2,0,,below
2022-08-18,google / organic,mobile,Chrome,English,/classes,/classes,United States,Tucson,1,1,1,11,2,0,,below
2022-08-18,google / organic,mobile,Chrome,English,/event-details/youth-aerial-trapeze-ages-7-11,/classes,United States,Tucson,1,1,0,13,2,0,,below
2022-08-18,google / organic,mobile,Chrome,English,/event-details/youth-aerial-trapeze-ages-7-11,/event-details/youth-aerial-trapeze-ages-7-11,United States,Las Vegas,1,1,1,0,2,0,,below
2022-08-18,google / organic,mobile,Chrome,English,/nora,/nora,United States,Tucson,1,1,1,19,2,0,,below
2022-08-18,google / organic,mobile,Safari,English,/,(not set),United States,Mandeville,1,1,0,0,0,0,,below
2022-08-18,google / organic,mobile,Safari,English,/,/,United States,(not set),1,1,1,0,3,0,,below
2022-08-18,google / organic,mobile,Safari,English,/,/,United States,Deming,1,1,1,9,2,0,,below
2022-08-18,google / organic,mobile,Safari,English,/classes,/,United States,(not set),1,1,0,47,2,0,,below
2022-08-18,google / organic,mobile,Safari,English,/more,/,United States,(not set),1,1,0,5,3,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR0PHs40y1M3sGw4PpvZTe-ma0YwbwPY8DhLEGDN96rmR761seIUe9kve7I,United States,Phoenix,1,1,1,0,1,0,,below
2022-08-18,l.facebook.com / referral,mobile,Android Webview,English,/apprenticeship,/apprenticeship?fbclid=IwAR0v-5Wom_6Ugkvt6JUzdfPIS9-m0MZXjlBwbVFjrOwV2nWiLum4wQgP0D0,United States,Phoenix,1,1,1,0,1,0,,below
