Customer_id,Age,Gender,Revenue_Total,N_Purchases,Purchase_DATE,Purchase_VALUE,Pay_Method,Time_Spent,Browser,Newsletter,Voucher
504308,53,0,45.3,2,06/22/21,24.915,1,885,0,0,0
504309,18,1,36.2,3,10/12/21,2.896,2,656,0,0,1
504310,52,1,10.6,1,03/14/21,10.6,0,761,0,1,0
504311,29,0,54.1,5,10/25/21,43.28,1,906,0,1,0
504312,21,1,56.9,1,09/14/21,56.9,1,605,0,1,0
504313,55,0,13.7,6,05/14/21,12.467,1,364,1,0,0
504314,17,1,30.7,6,09/01/21,2.456,0,654,0,0,0
504315,30,1,8.1,7,03/28/21,6.561,3,1011,0,0,0
504316,51,0,18,4,04/08/21,11.88,0,312,3,1,0
504317,63,1,19.2,4,06/10/21,11.904,3,828,0,0,0
504318,26,0,36.5,5,12/31/21,31.39,2,1029,0,0,1
504319,42,1,14,4,11/22/21,4.34,3,479,1,0,0
504320,40,0,14.7,2,02/08/21,2.94,3,645,0,0,0
504321,19,0,37.4,4,07/05/21,15.334,3,501,1,0,0
504322,30,1,15.4,1,02/05/21,15.4,3,802,2,0,0
504323,60,0,28.7,7,04/06/21,0.861,3,804,0,0,0
504324,22,0,39.7,3,02/22/21,30.569,2,931,3,0,0
504325,39,1,5.1,3,07/13/21,1.53,3,911,3,1,0
504326,21,1,43.9,6,09/13/21,19.755,1,468,0,0,1
504327,20,1,36.4,6,01/16/21,14.56,2,714,0,0,0
504328,54,0,23.2,1,03/07/21,23.2,0,474,0,0,1
504329,53,0,26.3,7,12/22/21,15.517,3,691,1,1,0
504330,22,1,33.1,2,10/01/21,0.662,0,394,0,0,1
504331,32,1,1.2,4,01/20/21,0.204,0,1013,1,0,1
504332,36,1,41.3,6,04/16/21,24.367,1,165,3,0,0
504333,24,1,25.5,3,05/13/21,4.08,0,710,0,0,0
504334,57,1,34.1,5,07/09/21,18.073,3,664,0,0,1
504335,27,1,30.8,4,07/21/21,26.18,2,808,1,0,0
504336,21,0,31.1,2,11/01/21,9.019,0,992,0,0,0
504337,52,1,48.1,6,10/19/21,34.151,3,311,0,0,1
504338,52,1,42.7,2,04/02/21,22.204,1,283,1,1,0
504339,52,1,53.5,4,12/13/21,14.98,0,941,0,0,0
504340,55,0,39,2,03/02/21,23.79,1,137,0,0,0
504341,63,1,30.3,5,08/16/21,5.454,0,469,0,0,0
504342,17,0,34.7,1,09/17/21,34.7,1,338,1,0,0
504343,41,1,41.3,6,11/10/21,9.086,1,723,0,0,0
504344,32,1,26.4,7,05/14/21,4.752,0,496,0,1,0
504345,57,0,33.1,7,12/07/21,30.452,2,142,0,0,1
504346,39,1,59.3,3,04/24/21,21.348,0,484,0,0,0
504347,35,0,14.3,1,03/25/21,14.3,2,552,0,0,0
504348,48,1,35,7,05/11/21,21.7,2,610,3,1,0
504349,56,1,3.9,7,10/04/21,1.755,2,128,0,1,0
504350,60,0,5.1,1,03/01/21,5.1,0,755,0,0,0
504351,32,1,1.6,5,11/22/21,1.488,1,1040,0,0,1
504352,49,1,11.3,6,05/22/21,7.006,0,729,3,0,0
504353,22,1,41.9,7,07/02/21,31.006,2,1033,0,0,0
504354,25,1,22.7,2,10/15/21,12.031,2,628,2,0,0
504355,57,1,37.1,7,01/14/21,17.066,1,757,0,0,0
504356,50,0,5.7,2,08/31/21,1.71,1,815,0,1,1
504357,55,0,27.2,2,06/02/21,16.592,3,1038,1,1,0
504358,27,1,17.5,3,12/14/21,12.425,1,199,0,0,0
504359,19,0,44.7,5,08/18/21,32.631,3,216,0,0,1
504360,33,1,36,5,11/03/21,0.36,2,372,1,0,0
504361,51,1,30.6,6,03/07/21,0.612,2,929,0,0,0
504362,63,0,5.4,7,11/25/21,3.078,1,552,0,0,1
504363,52,1,17.9,3,07/01/21,1.074,0,515,3,0,0
